run,seed,scenario,config,n_vessels,total_containers,turnaround_h,reshuffle_pct,equip_util_pct,turnaround_improvement_pct,reshuffle_improvement_pct,equip_util_improvement_pct
5,105,高峰压力,C,1586,2850984,15.7,6.4,59.7,4.5,13.5,2.6
6,106,高峰压力,C,1545,2709332,15.5,6.4,59.7,5.7,13.5,2.6
7,107,高峰压力,C,1682,2971445,15.6,6.4,59.7,5.1,13.5,2.6
8,108,高峰压力,C,1452,2542691,15.5,6.4,59.7,5.7,13.5,2.6
9,109,高峰压力,C,1488,2611585,15.5,6.4,59.7,5.7,13.5,2.6
0,100,高峰压力,D,1607,2790805,15.9,5.4,61.4,3.3,27.0,5.5
1,101,高峰压力,D,1562,2702709,15.9,5.4,61.4,3.3,27.0,5.5
2,102,高峰压力,D,1574,2766168,16.0,5.4,61.4,2.7,27.0,5.5
3,103,高峰压力,D,1620,2779361,15.8,5.4,61.4,3.9,27.0,5.5
4,104,高峰压力,D,1470,2559993,15.9,5.4,61.4,3.3,27.0,5.5
5,105,高峰压力,D,1586,2850984,16.2,5.4,61.4,1.5,27.0,5.5
6,106,高峰压力,D,1545,2709332,16.0,5.4,61.4,2.7,27.0,5.5
7,107,高峰压力,D,1682,2971445,16.0,5.4,61.4,2.7,27.0,5.5
8,108,高峰压力,D,1452,2542691,15.9,5.4,61.4,3.3,27.0,5.5
9,109,高峰压力,D,1488,2611585,16.0,5.4,61.4,2.7,27.0,5.5
0,100,异常情况,A,588,1029387,17.2,7.4,58.2,0.0,0.0,0.0
1,101,异常情况,A,578,1035554,17.4,7.4,58.1,0.0,0.0,0.0
2,102,异常情况,A,588,1026277,17.2,7.4,58.2,0.0,0.0,0.0
3,103,异常情况,A,550,949803,17.1,7.4,58.2,0.0,0.0,0.0
4,104,异常情况,A,582,1016600,17.2,7.4,58.2,0.0,0.0,0.0
5,105,异常情况,A,576,1019479,17.3,7.4,58.1,0.0,0.0,0.0
6,106,异常情况,A,679,1153738,17.0,7.4,58.2,0.0,0.0,0.0
7,107,异常情况,A,621,1082615,17.2,7.4,58.1,0.0,0.0,0.0
8,108,异常情况,A,600,1013335,17.0,7.4,58.2,0.0,0.0,0.0
9,109,异常情况,A,580,1005950,17.2,7.4,58.2,0.0,0.0,0.0
0,100,异常情况,B,588,1029387,16.9,7.4,58.2,1.6,0.0,0.1
1,101,异常情况,B,578,1035554,17.0,7.4,58.1,1.0,0.0,-0.1
2,102,异常情况,B,588,1026277,16.8,7.4,58.2,2.2,0.0,0.1
3,103,异常情况,B,550,949803,16.8,7.4,58.2,2.2,0.0,0.1
4,104,异常情况,B,582,1016600,16.8,7.4,58.2,2.2,0.0,0.1
5,105,异常情况,B,576,1019479,16.9,7.4,58.1,1.6,0.0,-0.1
6,106,异常情况,B,679,1153738,16.6,7.4,58.2,3.4,0.0,0.1
7,107,异常情况,B,621,1082615,16.8,7.4,58.1,2.2,0.0,-0.1
8,108,异常情况,B,600,1013335,16.6,7.4,58.2,3.4,0.0,0.1
9,109,异常情况,B,580,1005950,16.8,7.4,58.2,2.2,0.0,0.1
0,100,异常情况,C,588,1029387,16.2,6.4,59.7,5.7,13.5,2.6
1,101,异常情况,C,578,1035554,16.4,6.4,59.7,4.5,13.5,2.6
2,102,异常情况,C,588,1026277,16.2,6.4,59.7,5.7,13.5,2.6
3,103,异常情况,C,550,949803,16.1,6.4,59.7,6.3,13.5,2.6
4,104,异常情况,C,582,1016600,16.2,6.4,59.7,5.7,13.5,2.6
5,105,异常情况,C,576,1019479,16.3,6.4,59.7,5.1,13.5,2.6
6,106,异常情况,C,679,1153738,16.0,6.4,59.7,6.9,13.5,2.6
7,107,异常情况,C,621,1082615,16.2,6.5,59.7,5.7,12.2,2.6
8,108,异常情况,C,600,1013335,16.0,6.4,59.7,6.9,13.5,2.6
9,109,异常情况,C,580,1005950,16.2,6.4,59.7,5.7,13.5,2.6
0,100,异常情况,D,588,1029387,16.3,5.4,61.4,5.1,27.0,5.6
1,101,异常情况,D,578,1035554,16.5,5.4,61.4,4.0,27.0,5.6
2,102,异常情况,D,588,1026277,16.3,5.4,61.4,5.1,27.0,5.6
3,103,异常情况,D,550,949803,16.2,5.4,61.4,5.7,27.0,5.6
4,104,异常情况,D,582,1016600,16.3,5.4,61.4,5.1,27.0,5.6
5,105,异常情况,D,576,1019479,16.4,5.4,61.4,4.5,27.0,5.6
6,106,异常情况,D,679,1153738,16.1,5.4,61.4,6.3,27.0,5.6
7,107,异常情况,D,621,1082615,16.3,5.4,61.4,5.1,27.0,5.6
8,108,异常情况,D,600,1013335,16.0,5.4,61.4,6.9,27.0,5.6
9,109,异常情况,D,580,1005950,16.2,5.4,61.4,5.7,27.0,5.6
