vessel_code,n_containers,fitness,time_s,rehandle,efficiency,balance,yard_collab,penalty
CNTIG,583,0.6239393897901127,0.216,0.8865979381443299,0.6823241838638978,0.9458440140354801,1.0,0.044596912521440824
CNCT,795,0.5619085525595314,0.344,0.6970260223048328,0.6416672273901378,0.9579344469455902,1.0,0.045283018867924525
MXNT,1492,0.5365873288670919,1.056,0.6320907617504052,0.5440136535576242,0.9636313958418457,1.0,0.04054959785522788
OFUT,1761,0.5026916054256202,1.561,0.5683371298405466,0.5561842506455492,0.9553102393113739,1.0,0.04457694491766042
CGAMV,2993,0.40804249435761464,2.24,0.5984971567831032,0.5296443778529805,0.9751643435075094,1.0,0.06414968259271633
APESP,4008,0.4180884837916701,3.311,0.5809284818067755,0.5469969549076457,0.9781247264692411,1.0,0.062624750499002
