vessel_code,fitness_garh,fitness_pure
CNTIG,0.790714,0.7964858149277773
CNCT,0.6873,0.6957217331708572
MXNT,0.617567,0.6170430428009748
OFUT,0.5887,0.583680231043721
CGAMV,0.4757296017290672,0.48013873818023795
APESP,0.4598888653544611,0.4604358494245029
