vessel_code,n_containers,pure_fitness,post_fitness,pure_rehandle,post_rehandle,pure_efficiency,post_efficiency,pure_balance,post_balance,pure_penalty,post_penalty,improve_pct
APESP,4008,0.45405946193770363,0.45405946193770363,0.6004079782411604,0.6004079782411604,0.5551497011332142,0.5551497011332142,0.9963049186616775,0.9963049186616775,0.05788423153692615,0.05788423153692615,0.0
CGAMV,2993,0.48466039005357253,0.48466039005357253,0.6026776519052524,0.6026776519052524,0.6023589568372145,0.6023589568372145,0.9952340382992495,0.9952340382992495,0.055128633478115606,0.055128633478115606,0.0
CNCT,795,0.6957217331708572,0.6958003239478108,0.6947565543071161,0.6941838649155723,0.7147191633184912,0.7170081755525504,0.9655109711140725,0.9631934064857478,0.02389937106918239,0.02389937106918239,0.011296294654389003
CNTIG,583,0.7964858149277773,0.7964858149277773,0.9270833333333334,0.9270833333333334,0.7050539807282681,0.7050539807282681,0.9976848679379603,0.9976848679379603,0.016295025728987993,0.016295025728987993,0.0
MXNT,1492,0.6157204314071062,0.6157204314071062,0.6405990016638935,0.6405990016638935,0.5451331327348747,0.5451331327348747,0.9818845418890582,0.9818845418890582,0.02613941018766756,0.02613941018766756,0.0
OFUT,1761,0.5849036344717559,0.5849036344717559,0.6279329608938548,0.6279329608938548,0.5870351025025136,0.5870351025025136,0.9939778054374067,0.9939778054374067,0.03520726859738785,0.03520726859738785,0.0
