vessel_code,n_containers,n_slots,fitness,rehandle,efficiency,balance,yard_collab,penalty,time_s
APESP,4008,,0.456415592101359,0.5945322413196448,0.5552670977569099,0.9815007012041614,1.0,0.056387225548902194,3070.1
CGAMV,2993,,0.4829210417257981,0.6105110095554632,0.5985761109333989,0.9890804009049865,1.0,0.055295689943200804,2028.8
CNCT,795,,0.6916201431421016,0.7166064981949458,0.7132407408270083,0.9922175403603033,1.0,0.027044025157232705,263.7
CNTIG,583,,0.7856317414789176,0.9423076923076923,0.6770642876063777,0.9610771268767162,1.0,0.015437392795883362,192.1
MXNT,1492,,0.615796527342242,0.5925349922239502,0.5440249681946967,0.9982923010826302,1.0,0.024463806970509382,917.5
OFUT,1761,,0.5902167695051849,0.6253521126760564,0.5915092354341702,0.9945116325568332,1.0,0.03435547984099943,1237.8
