窗口,MAPE(%),PICP(%),基线翻箱(%),协同翻箱(%),基线设备(%),协同设备(%)
w1,4.26,87.4,7.09,7.11,60.82,60.86
w2,4.59,86.5,7.09,6.89,60.82,60.51
